Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 28, 2023",33797.43,34104.56,33728.4,34098.16,34098.16,354310000
"Apr 27, 2023",33381.66,33859.75,33374.65,33826.16,33826.16,343240000
"Apr 26, 2023",33596.34,33645.83,33235.85,33301.87,33301.87,321170000
"Apr 25, 2023",33828.34,33875.49,33525.39,33530.83,33530.83,297880000
"Apr 24, 2023",33805.04,33891.15,33726.09,33875.4,33875.4,252020000
"Apr 21, 2023",33793.6,33858.83,33688.57,33808.96,33808.96,291080000
"Apr 20, 2023",33740.6,33875.39,33677.74,33786.62,33786.62,307910000
"Apr 19, 2023",33889.83,33957.98,33814.65,33897.01,33897.01,251490000
"Apr 18, 2023",33965.16,34018.62,33791.89,33976.63,33976.63,253570000
"Apr 17, 2023",33930.46,33991.23,33796.91,33987.18,33987.18,234530000
"Apr 14, 2023",33981.71,34082.94,33730.85,33886.47,33886.47,276720000
"Apr 13, 2023",33668.97,34054.99,33605.17,34029.69,34029.69,277230000
"Apr 12, 2023",33764.21,33895.43,33593.32,33646.5,33646.5,260300000
"Apr 11, 2023",33586.75,33781.29,33586.75,33684.79,33684.79,241430000
"Apr 10, 2023",33425.25,33590.24,33343.43,33586.52,33586.52,232920000
"Apr 06, 2023",33420.96,33525.96,33325.37,33485.29,33485.29,258680000
"Apr 05, 2023",33394.6,33543.84,33376.27,33482.72,33482.72,286660000
"Apr 04, 2023",33594.79,33634.72,33275.62,33402.38,33402.38,283360000
"Apr 03, 2023",33245.78,33632.9,33245.78,33601.15,33601.15,311890000
"Mar 31, 2023",32901.96,33291.0,32901.96,33274.15,33274.15,353740000
"Mar 30, 2023",32807.43,32905.8,32682.87,32859.03,32859.03,283380000
"Mar 29, 2023",32566.54,32728.04,32539.94,32717.6,32717.6,314110000
"Mar 28, 2023",32434.85,32551.01,32295.5,32394.25,32394.25,248560000
"Mar 27, 2023",32276.72,32564.0,32276.72,32432.08,32432.08,291560000
"Mar 24, 2023",32038.22,32257.24,31805.18,32237.53,32237.53,317070000
"Mar 23, 2023",32101.49,32511.49,31864.74,32105.25,32105.25,335430000
"Mar 22, 2023",32570.19,32761.89,32020.46,32030.11,32030.11,325990000
"Mar 21, 2023",32420.71,32593.68,32346.12,32560.6,32560.6,363190000
"Mar 20, 2023",31872.33,32280.07,31872.33,32244.58,32244.58,357210000
"Mar 17, 2023",32217.32,32217.32,31728.7,31861.98,31861.98,712100000
"Mar 16, 2023",31827.65,32281.61,31571.46,32246.55,32246.55,440940000
"Mar 15, 2023",31759.87,31906.47,31429.82,31874.57,31874.57,420910000
"Mar 14, 2023",32055.29,32306.59,31805.4,32155.4,32155.4,391760000
"Mar 13, 2023",31819.93,32240.35,31624.87,31819.14,31819.14,429090000
"Mar 10, 2023",32185.14,32422.1,31783.41,31909.64,31909.64,397790000
"Mar 09, 2023",32876.83,32990.46,32190.6,32254.86,32254.86,315860000
"Mar 08, 2023",32872.08,32903.44,32612.7,32798.4,32798.4,242750000
"Mar 07, 2023",33428.31,33453.25,32838.21,32856.46,32856.46,299400000
"Mar 06, 2023",33425.32,33572.22,33383.47,33431.44,33431.44,329190000
"Mar 03, 2023",33076.33,33405.82,33008.41,33390.97,33390.97,300050000
"Mar 02, 2023",32780.97,33083.45,32665.85,33003.57,33003.57,317450000
"Mar 01, 2023",32656.37,32746.15,32500.71,32661.84,32661.84,292810000
"Feb 28, 2023",32873.47,32873.47,32636.43,32656.7,32656.7,303760000
"Feb 27, 2023",32906.16,33189.28,32814.18,32889.09,32889.09,243660000
"Feb 24, 2023",32999.19,32999.19,32643.48,32816.92,32816.92,277120000
"Feb 23, 2023",33175.39,33272.4,32795.67,33153.91,33153.91,288120000
"Feb 22, 2023",33169.33,33245.97,32948.27,33045.09,33045.09,321910000
"Feb 21, 2023",33699.69,33699.69,33115.74,33129.59,33129.59,348320000
"Feb 17, 2023",33677.01,33846.64,33517.73,33826.69,33826.69,302900000
"Feb 16, 2023",33992.09,34041.16,33686.59,33696.85,33696.85,317530000
"Feb 15, 2023",34008.63,34130.49,33833.1,34128.05,34128.05,267530000
"Feb 14, 2023",34194.09,34331.47,33827.45,34089.27,34089.27,288820000
"Feb 13, 2023",33887.39,34249.6,33887.39,34245.93,34245.93,302600000
"Feb 10, 2023",33671.54,33897.31,33591.99,33869.27,33869.27,288150000
"Feb 09, 2023",34105.61,34252.57,33607.13,33699.88,33699.88,347520000
"Feb 08, 2023",34132.9,34161.65,33899.79,33949.01,33949.01,324090000
"Feb 07, 2023",33769.78,34240.0,33634.1,34156.69,34156.69,361620000
"Feb 06, 2023",33874.44,33962.84,33683.58,33891.02,33891.02,296400000
"Feb 03, 2023",33926.3,34179.58,33813.86,33926.01,33926.01,425150000
"Feb 02, 2023",34129.3,34145.14,33814.78,34053.94,34053.94,429910000
